Cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,0,0
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,0,0
"(16, 1)",0,0,0,0
"(17, 1)",0,0,1,1
"(18, 1)",0,0,0,0
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,0,0
"(23, 1)",1,0,1,0
"(24, 1)",1,0,0,1
"(25, 1)",1,0,1,0
"(26, 1)",0,0,0,0
"(27, 1)",0,0,0,0
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",1,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",1,0,1,0
"(34, 1)",0,0,0,1
"(35, 1)",0,0,1,1
"(36, 1)",0,0,0,0
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",1,0,1,1
"(40, 1)",0,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",1,0,1,1
"(45, 1)",0,0,0,0
"(46, 1)",0,0,1,1
"(47, 1)",1,0,1,1
"(48, 1)",0,0,1,1
"(49, 1)",1,0,1,0
"(50, 1)",0,0,0,0
"(51, 1)",1,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",1,0,1,0
"(54, 1)",1,0,0,1
"(55, 1)",0,0,1,1
"(56, 1)",1,0,1,0
"(57, 1)",1,0,0,1
"(58, 1)",1,0,1,1
"(59, 1)",0,0,1,1
"(60, 1)",1,0,1,1
"(61, 1)",0,0,0,0
"(62, 1)",1,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",1,0,1,0
"(65, 1)",1,0,0,1
"(66, 1)",1,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,0
"(69, 1)",1,0,0,1
"(70, 1)",1,0,1,0
"(1, 2)",0,0,0,0
"(2, 2)",1,0,1,0
"(3, 2)",1,1,0,1
"(4, 2)",1,0,1,0
"(5, 2)",1,0,0,1
"(6, 2)",1,1,1,1
"(7, 2)",1,1,1,1
"(8, 2)",1,0,1,1
"(9, 2)",1,1,1,1
"(10, 2)",1,0,1,1
"(11, 2)",0,0,1,0
"(12, 2)",1,1,0,0
"(13, 2)",0,1,0,1
"(14, 2)",0,0,0,0
"(15, 2)",1,0,0,1
"(16, 2)",0,1,1,0
"(17, 2)",0,0,0,0
"(18, 2)",0,0,0,0
"(19, 2)",1,1,0,1
"(20, 2)",1,0,1,0
"(21, 2)",0,0,0,0
"(22, 2)",1,1,0,0
"(23, 2)",0,1,0,1
"(24, 2)",1,1,1,0
"(25, 2)",1,1,0,1
"(26, 2)",0,1,1,0
"(27, 2)",0,0,0,0
"(28, 2)",0,1,1,1
"(29, 2)",1,0,1,1
"(30, 2)",1,1,1,0
"(31, 2)",0,0,0,0
"(32, 2)",1,0,1,0
"(33, 2)",1,1,0,1
"(34, 2)",0,0,1,1
"(35, 2)",0,0,1,1
"(36, 2)",1,1,1,0
"(37, 2)",1,1,0,1
"(38, 2)",0,1,1,0
"(39, 2)",1,1,0,1
"(40, 2)",1,0,1,0
"(41, 2)",1,0,0,1
"(42, 2)",1,1,1,1
"(43, 2)",0,0,1,1
"(44, 2)",1,1,1,0
