Cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",1,0,1,0
"(6, 1)",0,0,0,1
"(7, 1)",0,0,1,1
"(8, 1)",1,0,1,1
"(9, 1)",1,0,1,0
"(10, 1)",1,0,0,1
"(11, 1)",1,0,1,0
"(12, 1)",1,0,0,1
"(13, 1)",1,0,1,0
"(14, 1)",1,0,0,1
"(15, 1)",0,0,1,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,0,0
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",1,0,1,1
"(29, 1)",1,0,1,1
"(30, 1)",0,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",0,0,1,1
"(33, 1)",1,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,1
"(37, 1)",1,0,1,0
"(38, 1)",1,0,0,1
"(39, 1)",0,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,0
"(44, 1)",0,0,0,0
"(45, 1)",1,0,1,1
"(46, 1)",0,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",0,0,0,1
"(50, 1)",0,0,1,1
"(51, 1)",1,0,1,1
"(52, 1)",0,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",1,0,1,0
"(55, 1)",1,0,0,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",0,0,1,0
"(59, 1)",1,0,0,1
"(60, 1)",0,0,1,1
"(61, 1)",1,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,0,0
"(64, 1)",0,0,1,1
"(65, 1)",1,0,1,0
"(66, 1)",1,0,0,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,0
"(69, 1)",1,0,0,1
"(70, 1)",1,0,1,0
"(1, 2)",1,1,0,1
"(2, 2)",0,0,1,1
"(3, 2)",1,1,1,0
"(4, 2)",1,0,0,0
"(5, 2)",0,1,0,1
"(6, 2)",0,0,1,1
"(7, 2)",1,0,1,0
"(8, 2)",1,1,0,0
"(9, 2)",0,1,0,1
"(10, 2)",0,1,1,0
"(11, 2)",0,0,0,0
"(12, 2)",1,1,1,0
"(13, 2)",0,1,0,1
"(14, 2)",0,0,0,0
"(15, 2)",0,0,1,0
"(16, 2)",1,1,0,0
"(17, 2)",1,1,0,0
"(18, 2)",1,0,0,1
"(19, 2)",0,1,1,0
"(20, 2)",1,0,0,1
"(21, 2)",0,1,1,1
"(22, 2)",0,1,1,1
"(23, 2)",1,1,1,0
"(24, 2)",1,0,0,1
"(25, 2)",0,1,1,0
"(26, 2)",0,1,0,1
"(27, 2)",1,0,1,0
"(28, 2)",1,1,0,0
"(29, 2)",1,1,0,0
"(30, 2)",1,0,0,1
"(31, 2)",0,0,1,1
"(32, 2)",0,0,1,1
"(33, 2)",0,1,1,0
"(34, 2)",1,1,0,1
"(35, 2)",0,0,1,1
"(36, 2)",0,1,1,0
"(37, 2)",1,1,0,0
"(38, 2)",0,1,0,1
"(39, 2)",1,0,1,1
"(40, 2)",0,0,0,0
"(41, 2)",1,0,1,0
"(42, 2)",1,0,0,1
"(43, 2)",1,1,1,0
"(44, 2)",0,0,0,0
