Cell,E,W,N,S
"(1, 1)",1,0,0,1
"(2, 1)",0,0,0,0
"(3, 1)",0,0,1,1
"(4, 1)",0,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,0,0
"(9, 1)",0,0,0,1
"(10, 1)",1,0,1,1
"(11, 1)",1,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",0,0,1,1
"(14, 1)",0,0,0,0
"(15, 1)",1,0,0,0
"(16, 1)",0,0,0,0
"(17, 1)",0,0,0,0
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,1
"(23, 1)",0,0,0,0
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",1,0,1,0
"(27, 1)",0,0,0,1
"(28, 1)",1,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,0,0
"(32, 1)",0,0,0,0
"(33, 1)",1,0,1,1
"(34, 1)",0,0,0,0
"(35, 1)",1,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",0,0,1,1
"(38, 1)",1,0,1,0
"(39, 1)",1,0,0,1
"(40, 1)",0,0,0,0
"(41, 1)",1,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",0,0,0,0
"(45, 1)",1,0,0,1
"(46, 1)",1,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",0,0,1,1
"(49, 1)",1,0,1,1
"(50, 1)",0,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",1,0,1,0
"(53, 1)",0,0,0,1
"(54, 1)",0,0,0,0
"(55, 1)",0,0,0,0
"(56, 1)",0,0,1,1
"(57, 1)",0,0,0,0
"(58, 1)",0,0,0,0
"(59, 1)",0,0,0,0
"(60, 1)",0,0,1,1
"(61, 1)",0,0,1,1
"(62, 1)",0,0,0,0
"(63, 1)",0,0,0,0
"(64, 1)",0,0,1,1
"(65, 1)",1,0,1,0
"(66, 1)",1,0,0,1
"(67, 1)",0,0,1,1
"(68, 1)",0,0,1,1
"(69, 1)",0,0,1,1
"(70, 1)",1,0,1,0
"(1, 2)",1,1,0,1
"(2, 2)",0,0,1,1
"(3, 2)",0,0,1,1
"(4, 2)",1,0,1,1
"(5, 2)",1,0,1,1
"(6, 2)",0,0,0,0
"(7, 2)",1,0,1,0
"(8, 2)",1,1,0,1
"(9, 2)",0,0,0,0
"(10, 2)",1,1,1,0
"(11, 2)",1,1,0,0
"(12, 2)",0,0,0,0
"(13, 2)",0,0,0,0
"(14, 2)",0,0,0,0
"(15, 2)",1,1,1,0
"(16, 2)",1,1,0,0
"(17, 2)",1,0,0,0
"(18, 2)",0,1,0,1
"(19, 2)",0,0,1,1
"(20, 2)",1,1,1,0
"(21, 2)",0,0,0,0
"(22, 2)",1,1,1,0
"(23, 2)",1,0,0,1
"(24, 2)",0,1,1,1
"(25, 2)",1,0,1,1
"(26, 2)",0,1,1,1
"(27, 2)",0,0,0,0
"(28, 2)",1,1,1,0
"(29, 2)",0,0,0,0
"(30, 2)",0,0,0,0
"(31, 2)",0,0,0,0
"(32, 2)",0,0,0,0
"(33, 2)",0,1,1,0
"(34, 2)",0,0,0,0
"(35, 2)",0,1,1,0
"(36, 2)",1,0,0,1
"(37, 2)",0,0,0,0
"(38, 2)",1,1,0,0
"(39, 2)",1,1,0,0
"(40, 2)",0,1,0,0
"(41, 2)",1,1,0,0
"(42, 2)",1,1,0,1
"(43, 2)",0,0,0,0
"(44, 2)",0,1,0,1
"(45, 2)",1,1,1,0
"(46, 2)",0,0,0,0
"(47, 2)",0,0,1,1
"(48, 2)",0,0,1,1
"(49, 2)",0,0,0,0
"(50, 2)",1,0,0,0
"(51, 2)",1,0,0,1
"(52, 2)",0,0,0,0
"(53, 2)",0,0,1,1
"(54, 2)",0,1,1,0
"(55, 2)",0,0,0,1
"(56, 2)",1,0,1,1
"(57, 2)",0,1,1,1
"(58, 2)",0,1,1,1
"(59, 2)",0,0,0,0
"(60, 2)",1,0,0,0
"(61, 2)",1,0,0,1
"(62, 2)",0,0,0,0
"(63, 2)",0,0,1,1
"(64, 2)",1,0,1,0
"(65, 2)",1,1,0,1
"(66, 2)",0,1,1,1
"(67, 2)",0,0,0,0
"(68, 2)",0,0,1,1
"(69, 2)",0,0,1,0
"(70, 2)",0,0,0,0
"(1, 3)",1,1,0,1
"(2, 3)",0,0,1,1
"(3, 3)",0,0,0,0
"(4, 3)",0,1,1,0
"(5, 3)",1,1,0,1
"(6, 3)",1,0,1,0
"(7, 3)",0,1,0,1
"(8, 3)",0,0,0,0
"(9, 3)",1,0,0,1
"(10, 3)",1,1,1,1
"(11, 3)",0,1,1,0
"(12, 3)",1,1,0,0
"(13, 3)",1,0,0,1
"(14, 3)",1,1,1,0
"(15, 3)",0,0,0,0
"(16, 3)",0,1,1,1
"(17, 3)",1,1,1,1
"(18, 3)",0,0,1,1
"(19, 3)",0,0,0,0
"(20, 3)",1,1,1,0
"(21, 3)",1,0,0,1
"(22, 3)",0,0,0,0
"(23, 3)",1,1,1,1
"(24, 3)",0,0,0,0
"(25, 3)",0,1,1,1
"(26, 3)",0,0,0,0
"(27, 3)",0,0,1,1
"(28, 3)",0,1,1,1
"(29, 3)",0,0,0,0
"(30, 3)",0,0,0,0
"(31, 3)",1,1,1,0
"(32, 3)",0,1,0,1
"(33, 3)",1,0,1,1
"(34, 3)",0,1,1,1
"(35, 3)",0,0,1,1
"(36, 3)",1,1,1,0
"(37, 3)",0,0,0,0
"(38, 3)",1,1,0,1
"(39, 3)",0,1,1,0
"(40, 3)",1,0,0,1
"(41, 3)",0,0,0,0
"(42, 3)",0,0,0,0
"(43, 3)",0,1,0,1
"(44, 3)",1,0,1,1
"(45, 3)",0,1,1,1
"(46, 3)",1,0,1,0
"(47, 3)",0,0,0,1
"(48, 3)",1,0,1,1
"(49, 3)",0,0,1,1
"(50, 3)",1,1,1,1
"(51, 3)",0,1,1,0
"(52, 3)",1,0,0,0
"(53, 3)",1,0,0,1
"(54, 3)",0,0,1,1
"(55, 3)",1,0,1,0
"(56, 3)",1,1,0,1
"(57, 3)",0,0,1,1
"(58, 3)",0,0,1,1
"(59, 3)",1,1,1,1
"(60, 3)",0,0,0,0
"(61, 3)",0,0,0,0
"(62, 3)",1,0,0,1
"(63, 3)",0,0,0,0
"(64, 3)",0,1,1,1
"(65, 3)",1,1,1,0
"(66, 3)",0,0,0,0
"(67, 3)",0,0,0,0
"(68, 3)",0,0,0,0
"(69, 3)",1,0,1,0
"(70, 3)",1,1,0,0
"(1, 4)",1,1,0,1
"(2, 4)",1,0,1,0
"(3, 4)",0,1,0,1
"(4, 4)",1,0,1,1
"(5, 4)",0,0,0,0
"(6, 4)",1,1,0,1
"(7, 4)",0,0,0,0
"(8, 4)",0,1,1,1
"(9, 4)",1,1,1,0
"(10, 4)",0,0,0,0
"(11, 4)",0,0,1,1
"(12, 4)",1,1,1,1
"(13, 4)",1,1,1,0
"(14, 4)",1,1,0,0
"(15, 4)",0,0,0,0
"(16, 4)",0,0,0,0
"(17, 4)",0,0,0,0
"(18, 4)",0,0,1,1
"(19, 4)",1,0,1,1
"(20, 4)",1,1,1,0
"(21, 4)",0,0,0,0
"(22, 4)",0,0,1,1
"(23, 4)",1,1,1,0
"(24, 4)",0,0,0,0
"(25, 4)",0,0,0,0
"(26, 4)",1,1,1,1
"(27, 4)",0,0,1,1
"(28, 4)",0,0,1,1
"(29, 4)",1,1,1,1
"(30, 4)",1,0,1,1
"(31, 4)",1,1,1,1
"(32, 4)",1,0,1,1
"(33, 4)",0,1,1,1
"(34, 4)",1,0,1,1
"(35, 4)",0,0,0,0
"(36, 4)",0,0,0,0
"(37, 4)",0,0,0,0
"(38, 4)",0,0,0,0
"(39, 4)",1,0,0,1
"(40, 4)",0,1,1,1
"(41, 4)",0,0,0,0
"(42, 4)",0,1,1,1
"(43, 4)",1,0,1,1
"(44, 4)",1,1,1,1
"(45, 4)",1,0,1,0
"(46, 4)",0,1,0,1
"(47, 4)",1,0,1,0
"(48, 4)",0,0,0,0
"(49, 4)",0,0,1,1
"(50, 4)",0,0,0,0
"(51, 4)",0,0,1,1
"(52, 4)",0,0,0,0
"(53, 4)",1,1,0,0
"(54, 4)",0,0,0,0
"(55, 4)",1,1,0,0
"(56, 4)",1,1,0,1
"(57, 4)",1,0,1,1
"(58, 4)",0,0,1,1
"(59, 4)",0,0,0,0
"(60, 4)",0,0,1,1
"(61, 4)",0,0,0,0
"(62, 4)",0,1,0,1
"(63, 4)",1,0,1,0
"(64, 4)",0,0,0,1
"(65, 4)",0,1,1,1
"(66, 4)",1,1,1,0
"(67, 4)",1,0,0,1
"(68, 4)",0,0,0,0
"(69, 4)",0,1,0,1
"(70, 4)",1,1,1,0
"(1, 5)",1,1,0,0
"(2, 5)",0,1,0,1
"(3, 5)",1,0,1,1
"(4, 5)",0,1,1,1
"(5, 5)",1,0,1,0
"(6, 5)",1,1,0,1
"(7, 5)",1,0,1,1
"(8, 5)",0,0,1,1
"(9, 5)",0,1,1,1
"(10, 5)",0,0,0,0
"(11, 5)",0,0,1,1
"(12, 5)",1,1,1,0
"(13, 5)",1,1,0,1
"(14, 5)",1,1,1,0
"(15, 5)",0,1,0,1
"(16, 5)",1,1,1,0
"(17, 5)",1,0,0,1
"(18, 5)",0,0,0,0
"(19, 5)",0,1,1,0
"(20, 5)",1,1,0,1
"(21, 5)",1,0,1,1
"(22, 5)",0,0,1,1
"(23, 5)",1,1,1,0
"(24, 5)",1,0,0,1
"(25, 5)",0,0,0,0
"(26, 5)",1,1,1,1
"(27, 5)",0,0,0,0
"(28, 5)",1,0,1,1
"(29, 5)",0,1,1,0
"(30, 5)",0,0,0,0
"(31, 5)",1,1,0,0
"(32, 5)",1,1,0,1
"(33, 5)",1,0,1,0
"(34, 5)",0,0,0,0
"(35, 5)",0,0,0,0
"(36, 5)",0,0,0,0
"(37, 5)",0,0,0,0
"(38, 5)",0,0,0,0
"(39, 5)",1,1,0,1
"(40, 5)",0,0,1,1
"(41, 5)",0,0,0,0
"(42, 5)",0,0,0,0
"(43, 5)",1,1,1,0
"(44, 5)",1,1,0,0
"(45, 5)",0,0,0,0
"(46, 5)",1,0,1,1
"(47, 5)",0,1,1,0
"(48, 5)",0,0,0,0
"(49, 5)",1,0,1,0
"(50, 5)",1,1,0,0
"(51, 5)",1,0,0,1
"(52, 5)",1,1,1,0
"(53, 5)",0,1,0,1
"(54, 5)",1,1,1,1
"(55, 5)",0,1,1,1
"(56, 5)",1,1,1,0
"(57, 5)",0,1,0,1
"(58, 5)",0,0,0,0
"(59, 5)",1,0,1,0
"(60, 5)",0,0,0,0
"(61, 5)",1,1,0,1
"(62, 5)",1,0,1,1
"(63, 5)",0,1,1,1
"(64, 5)",0,0,1,1
"(65, 5)",1,0,1,0
"(66, 5)",1,1,0,1
"(67, 5)",1,1,1,0
"(68, 5)",0,0,0,0
"(69, 5)",0,0,0,0
"(70, 5)",0,0,0,0
"(1, 6)",1,1,0,0
"(2, 6)",1,0,0,1
"(3, 6)",1,1,1,0
"(4, 6)",1,0,0,0
"(5, 6)",0,1,0,1
"(6, 6)",1,1,1,0
"(7, 6)",1,1,0,0
"(8, 6)",1,0,0,1
"(9, 6)",0,0,0,0
"(10, 6)",0,1,1,1
"(11, 6)",0,0,0,0
"(12, 6)",0,0,0,0
"(13, 6)",0,0,0,0
"(14, 6)",0,0,0,0
"(15, 6)",0,0,1,0
"(16, 6)",1,1,0,0
"(17, 6)",0,0,0,0
"(18, 6)",1,0,1,0
"(19, 6)",1,0,0,0
"(20, 6)",1,1,0,0
"(21, 6)",1,1,0,0
"(22, 6)",1,0,0,1
"(23, 6)",0,1,1,1
"(24, 6)",0,1,1,1
"(25, 6)",0,0,0,0
"(26, 6)",0,1,1,1
"(27, 6)",0,0,1,1
"(28, 6)",0,1,1,1
"(29, 6)",0,0,0,0
"(30, 6)",0,1,1,1
"(31, 6)",1,1,1,1
"(32, 6)",1,1,1,0
"(33, 6)",0,1,0,1
"(34, 6)",1,0,1,0
"(35, 6)",0,0,0,0
"(36, 6)",0,1,0,1
"(37, 6)",0,1,1,0
"(38, 6)",1,0,0,1
"(39, 6)",0,1,1,1
"(40, 6)",1,0,1,1
"(41, 6)",1,1,1,1
"(42, 6)",0,1,1,0
"(43, 6)",0,1,0,0
"(44, 6)",1,1,0,0
"(45, 6)",1,0,0,1
"(46, 6)",0,0,0,0
"(47, 6)",0,0,1,1
"(48, 6)",0,1,1,0
"(49, 6)",1,1,0,1
"(50, 6)",0,1,1,1
"(51, 6)",0,1,1,0
"(52, 6)",1,1,0,1
"(53, 6)",0,0,0,0
"(54, 6)",1,1,0,0
"(55, 6)",0,0,0,0
"(56, 6)",0,1,1,1
"(57, 6)",1,0,1,1
"(58, 6)",0,0,0,0
"(59, 6)",1,1,0,0
"(60, 6)",0,1,0,1
"(61, 6)",0,0,0,0
"(62, 6)",0,1,0,1
"(63, 6)",0,0,0,0
"(64, 6)",1,0,1,0
"(65, 6)",0,0,0,0
"(66, 6)",1,1,1,0
"(67, 6)",1,1,0,0
"(68, 6)",1,0,0,1
"(69, 6)",1,0,1,1
"(70, 6)",1,1,1,0
"(1, 7)",0,1,0,1
"(2, 7)",1,1,1,0
"(3, 7)",1,1,0,1
"(4, 7)",1,1,1,1
"(5, 7)",0,0,0,0
"(6, 7)",0,0,0,0
"(7, 7)",0,1,1,1
"(8, 7)",0,1,1,0
"(9, 7)",0,0,0,0
"(10, 7)",0,0,0,0
"(11, 7)",0,0,1,1
"(12, 7)",0,1,1,0
"(13, 7)",1,1,0,1
"(14, 7)",0,0,0,0
"(15, 7)",1,0,1,1
"(16, 7)",0,1,1,1
"(17, 7)",1,1,1,0
"(18, 7)",1,1,0,1
"(19, 7)",1,1,1,1
"(20, 7)",0,1,1,1
"(21, 7)",0,1,1,1
"(22, 7)",0,0,0,0
"(23, 7)",1,0,1,1
"(24, 7)",0,0,1,0
"(25, 7)",1,1,0,1
"(26, 7)",1,0,1,0
"(27, 7)",1,0,0,1
"(28, 7)",0,0,1,1
"(29, 7)",0,1,1,1
"(30, 7)",0,0,0,0
"(31, 7)",1,1,0,0
"(32, 7)",0,1,0,1
"(33, 7)",0,0,0,0
"(34, 7)",0,1,0,1
"(35, 7)",0,0,0,0
"(36, 7)",0,0,0,0
"(37, 7)",0,0,1,1
"(38, 7)",0,1,1,1
"(39, 7)",1,0,1,1
"(40, 7)",0,1,1,0
"(41, 7)",1,1,0,1
"(42, 7)",0,0,1,1
"(43, 7)",0,0,0,0
"(44, 7)",0,1,1,0
"(45, 7)",1,1,0,0
"(46, 7)",1,0,0,1
"(47, 7)",1,0,1,1
"(48, 7)",1,0,1,0
"(49, 7)",1,1,0,0
"(50, 7)",1,0,0,1
"(51, 7)",1,0,1,1
"(52, 7)",0,1,1,0
"(53, 7)",0,0,0,0
"(54, 7)",0,0,0,0
"(55, 7)",0,0,0,0
"(56, 7)",1,0,1,0
"(57, 7)",0,0,0,0
"(58, 7)",1,1,0,1
"(59, 7)",0,1,1,1
"(60, 7)",0,0,0,0
"(61, 7)",1,1,1,1
"(62, 7)",1,0,1,1
"(63, 7)",0,0,0,0
"(64, 7)",1,1,1,1
"(65, 7)",1,0,1,0
"(66, 7)",0,0,0,0
"(67, 7)",1,1,0,1
"(68, 7)",0,0,0,0
"(69, 7)",0,0,0,0
"(70, 7)",1,1,0,0
"(1, 8)",1,0,0,1
"(2, 8)",0,1,1,1
"(3, 8)",0,0,0,0
"(4, 8)",1,1,0,1
"(5, 8)",1,0,1,0
"(6, 8)",0,1,0,1
"(7, 8)",0,0,1,1
"(8, 8)",0,0,0,0
"(9, 8)",0,0,0,0
"(10, 8)",1,0,1,0
"(11, 8)",1,0,0,1
"(12, 8)",0,0,1,1
"(13, 8)",1,1,1,0
"(14, 8)",1,1,0,0
"(15, 8)",1,1,0,1
"(16, 8)",0,0,1,0
"(17, 8)",0,1,0,1
"(18, 8)",0,1,1,0
"(19, 8)",0,0,0,0
"(20, 8)",0,0,1,1
"(21, 8)",1,0,1,1
"(22, 8)",0,1,1,0
"(23, 8)",1,1,0,0
"(24, 8)",1,0,0,1
"(25, 8)",0,1,1,0
"(26, 8)",0,1,0,1
"(27, 8)",0,1,1,1
"(28, 8)",0,0,0,0
"(29, 8)",0,0,1,1
"(30, 8)",0,0,0,0
"(31, 8)",0,1,1,1
"(32, 8)",1,0,1,0
"(33, 8)",1,1,0,1
"(34, 8)",0,0,1,1
"(35, 8)",0,0,1,1
"(36, 8)",0,0,0,0
"(37, 8)",0,0,1,1
"(38, 8)",0,0,0,0
"(39, 8)",0,0,0,0
"(40, 8)",1,0,1,0
"(41, 8)",1,1,0,1
"(42, 8)",1,0,1,1
"(43, 8)",1,0,1,0
"(44, 8)",1,0,0,1
"(45, 8)",0,1,1,0
"(46, 8)",0,1,0,0
"(47, 8)",1,1,0,0
"(48, 8)",0,1,0,0
"(49, 8)",0,0,0,0
"(50, 8)",0,0,0,0
"(51, 8)",1,1,0,1
"(52, 8)",0,0,0,0
"(53, 8)",0,1,0,1
"(54, 8)",0,0,0,0
"(55, 8)",1,0,1,0
"(56, 8)",0,1,0,1
"(57, 8)",1,0,1,0
"(58, 8)",1,1,0,1
"(59, 8)",1,0,1,1
"(60, 8)",1,0,1,1
"(61, 8)",1,1,1,0
"(62, 8)",0,1,0,0
"(63, 8)",1,1,0,0
"(64, 8)",1,1,0,0
"(65, 8)",1,1,0,0
"(66, 8)",1,1,0,1
"(67, 8)",1,1,1,0
"(68, 8)",1,1,0,0
"(69, 8)",0,0,0,0
"(70, 8)",0,1,1,0
"(1, 9)",0,1,0,1
"(2, 9)",0,0,0,0
"(3, 9)",1,0,1,1
"(4, 9)",0,1,1,0
"(5, 9)",1,1,0,1
"(6, 9)",0,0,1,1
"(7, 9)",0,0,1,1
"(8, 9)",0,1,1,1
"(9, 9)",1,0,1,1
"(10, 9)",1,1,1,0
"(11, 9)",1,1,0,1
"(12, 9)",1,0,1,0
"(13, 9)",1,1,0,1
"(14, 9)",1,1,1,1
"(15, 9)",0,0,0,0
"(16, 9)",0,0,0,0
"(17, 9)",0,0,1,1
"(18, 9)",0,0,1,1
"(19, 9)",1,0,1,1
"(20, 9)",1,0,1,1
"(21, 9)",0,1,1,1
