Cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,0
"(3, 1)",0,0,0,0
"(4, 1)",1,0,1,1
"(5, 1)",0,0,1,1
"(6, 1)",1,0,1,0
"(7, 1)",0,0,0,0
"(8, 1)",0,0,0,0
"(9, 1)",1,0,0,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,0,0
"(12, 1)",0,0,1,1
"(13, 1)",0,0,0,0
"(14, 1)",0,0,0,0
"(15, 1)",0,0,0,0
"(16, 1)",0,0,1,1
"(17, 1)",1,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",1,0,1,1
"(20, 1)",1,0,1,0
"(21, 1)",0,0,0,0
"(22, 1)",1,0,1,1
"(23, 1)",0,0,0,0
"(24, 1)",1,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",1,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",0,0,1,1
"(30, 1)",0,0,0,0
"(31, 1)",1,0,1,0
"(32, 1)",1,0,0,1
"(33, 1)",0,0,1,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,0,0
"(36, 1)",1,0,1,0
"(37, 1)",0,0,0,0
"(38, 1)",0,0,0,0
"(39, 1)",1,0,1,1
"(40, 1)",1,0,1,1
"(41, 1)",0,0,1,1
"(42, 1)",1,0,1,1
"(43, 1)",0,0,1,1
"(44, 1)",0,0,0,0
"(45, 1)",0,0,0,0
"(46, 1)",0,0,1,1
"(47, 1)",0,0,1,1
"(48, 1)",1,0,1,0
"(49, 1)",0,0,0,0
"(50, 1)",1,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",0,0,0,0
"(53, 1)",0,0,0,0
"(54, 1)",0,0,0,0
"(55, 1)",1,0,1,1
"(56, 1)",0,0,0,0
"(57, 1)",1,0,1,1
"(58, 1)",0,0,1,1
"(59, 1)",1,0,1,1
"(60, 1)",0,0,1,1
"(61, 1)",1,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,0,0
"(64, 1)",0,0,0,0
"(65, 1)",0,0,1,1
"(66, 1)",1,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",0,0,1,1
"(69, 1)",0,0,0,0
"(70, 1)",0,0,0,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,0,0
"(3, 2)",0,0,0,0
"(4, 2)",0,0,0,0
"(5, 2)",1,0,1,1
